ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Client C001,5,"T006,T031,T013",B,"{""region"": ""EU"", ""industry"": ""Tech""}"
C002,Client C002,4,"T008,T021",B,"{""region"": ""US"", ""industry"": ""Healthcare""}"
C003,Client C003,4,"T035,T001,T054",B,"{""region"": ""US"", ""industry"": ""Tech""}"
C004,Client C004,5,"T048,T021",C,"{""region"": ""US"", ""industry"": ""Finance""}"
C005,Client C005,5,"T003,T030,T044",C,"{""region"": ""APAC"", ""industry"": ""Finance""}"
C006,Client C006,3,"T045,T041",A,"{""region"": ""EU"", ""industry"": ""Finance""}"
C007,Client C007,4,"T043,T045,T039,T001,T053",B,"{""region"": ""US"", ""industry"": ""Tech""}"
C008,Client C008,3,"T026,T039,T007",A,"{""region"": ""US"", ""industry"": ""Tech""}"
C009,Client C009,3,"T006,T043,T025,T036,T033,T057",C,"{""region"": ""US"", ""industry"": ""Finance""}"
C010,Client C010,5,"T023,T038,T027",A,"{""region"": ""APAC"", ""industry"": ""Tech""}"
C011,Client C011,3,"T026,T029",A,"{""region"": ""APAC"", ""industry"": ""Tech""}"
C012,Client C012,4,"T030,T008",A,"{""region"": ""APAC"", ""industry"": ""Tech""}"
C013,Client C013,3,"T035,T011,T001,T048,T005,T016",B,"{""region"": ""APAC"", ""industry"": ""Finance""}"
C014,Client C014,1,"T017,T021,T031,T026,T030",A,"{""region"": ""APAC"", ""industry"": ""Healthcare""}"
C015,Client C015,4,"T046,T038",A,"{""region"": ""EU"", ""industry"": ""Finance""}"
C016,Client C016,5,"T036,T019,T014",A,"{""region"": ""EU"", ""industry"": ""Finance""}"
C017,Client C017,1,"T009,T048",B,"{""region"": ""APAC"", ""industry"": ""Finance""}"
C018,Client C018,4,"T024,T020,T015,T009,T012",B,"{""region"": ""US"", ""industry"": ""Finance""}"
C019,Client C019,4,"T002,T023,T037",A,"{""region"": ""APAC"", ""industry"": ""Tech""}"
C020,Client C020,2,"T014,T051,T039,T002",A,"{""region"": ""EU"", ""industry"": ""Tech""}"
C021,Client C021,3,"T024,T035,T015,T047,T034,T048",C,"{""region"": ""EU"", ""industry"": ""Tech""}"
C022,Client C022,4,"T016,T003,T040,T006",A,"{""region"": ""US"", ""industry"": ""Healthcare""}"
C023,Client C023,1,"T005,T032,T009,T054,T002,T021",C,"{""region"": ""EU"", ""industry"": ""Healthcare""}"
C024,Client C024,1,"T030,T019,T040",C,"{""region"": ""EU"", ""industry"": ""Tech""}"
C025,Client C025,5,"T024,T017,T009,T022,T013,T053",A,"{""region"": ""US"", ""industry"": ""Tech""}"
C026,Client C026,1,"T022,T042,T018,T046,T015",B,"{""region"": ""APAC"", ""industry"": ""Finance""}"
C027,Client C027,1,"T047,T013,T039",B,"{""region"": ""APAC"", ""industry"": ""Finance""}"
C028,Client C028,5,"T037,T033,T045,T023",B,"{""region"": ""US"", ""industry"": ""Healthcare""}"
C029,Client C029,2,"T046,T034,T024,T032",C,"{""region"": ""EU"", ""industry"": ""Healthcare""}"
C030,Client C030,1,"T042,T056,T017,T002",B,"{""region"": ""US"", ""industry"": ""Tech""}"
